place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,boundingbox
92397151,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4153947940,47.5014552,8.7208153,amenity,fast_food,30,9.99999999995449e-06,amenity,Fabi Imbiss,"Fabi Imbiss, 32, Wartstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5014052', '47.5015052', '8.7207653', '8.7208653']"
92254989,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,9454867847,47.5015424,8.7206897,amenity,restaurant,30,9.99999999995449e-06,amenity,70/30,"70/30, 32, Wartstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8401, Schweiz/Suisse/Svizzera/Svizra","['47.5014924', '47.5015924', '8.7206397', '8.7207397']"
92814681,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359685942,47.5003358,8.727246,amenity,restaurant,30,9.99999999995449e-06,amenity,Strauss,"Strauss, 8, Stadthausstrasse, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5002858', '47.5003858', '8.7271960', '8.7272960']"
92225908,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,548920518,47.5012974,8.7212681,amenity,restaurant,30,9.99999999995449e-06,amenity,Osteria del fiore,"Osteria del fiore, 24, Wartstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8401, Schweiz/Suisse/Svizzera/Svizra","['47.5012474', '47.5013474', '8.7212181', '8.7213181']"
92649335,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359691412,47.4997238,8.7287787,amenity,restaurant,30,6.545433737692863e-05,amenity,Cantinetta Bindella,"Cantinetta Bindella, 44, Marktgasse, Wildbach, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4996738', '47.4997738', '8.7287287', '8.7288287']"
92228935,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,41217199,47.5056679,8.741497648680856,amenity,restaurant,30,9.99999999995449e-06,amenity,Restaurant Goldenberg,"Restaurant Goldenberg, 17, Süsenbergstrasse, Inneres Lind, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8411, Schweiz/Suisse/Svizzera/Svizra","['47.5055046', '47.5058234', '8.7412385', '8.7417321']"
93825852,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,675161654,47.4997184,8.7261232,amenity,cafe,30,6.545433737692863e-05,amenity,Locanda Trivisiano,"Locanda Trivisiano, 121, Stadthausstrasse, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4996684', '47.4997684', '8.7260732', '8.7261732']"
92673635,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,749913670,47.4991204,8.7274751,amenity,restaurant,30,9.99999999995449e-06,amenity,Bistro La Couronne,"Bistro La Couronne, 49, Marktgasse, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4990704', '47.4991704', '8.7274251', '8.7275251']"
93479409,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4095987418,47.501673,8.7235598,amenity,restaurant,30,6.545433737692863e-05,amenity,Gastronomie am Gleis,"Gastronomie am Gleis, 21, Rudolfstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5016230', '47.5017230', '8.7235098', '8.7236098']"
92789677,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,659475608,47.4981027,8.7409953,amenity,restaurant,30,9.99999999995449e-06,amenity,Hermannseck,"Hermannseck, 15, Hermannstrasse, Deutweg, Mattenbach, Winterthur, Bezirk Winterthur, Zürich, 8411, Schweiz/Suisse/Svizzera/Svizra","['47.4980527', '47.4981527', '8.7409453', '8.7410453']"
93052468,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,648047492,47.5020586,8.7270092,amenity,fast_food,30,9.99999999995449e-06,amenity,Al Mouchtar,"Al Mouchtar, 7, Theaterstrasse, Lind, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5020086', '47.5021086', '8.7269592', '8.7270592']"
92701317,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,256866280,47.4996979,8.7241129,amenity,restaurant,30,6.545433737692863e-05,amenity,National,"National, 24, Stadthausstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4996479', '47.4997479', '8.7240629', '8.7241629']"
